title_pt;title_en;year;rating;genre;sinopse
The Shawshank Redemption;Um Sonho de Liberdade;1994;9.3;Epic;A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.
The Godfather;O Poderoso Chefão;1972;9.2;Epic;The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight;Batman: O Cavaleiro das Trevas;2008;9.1;Action Epic;When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.
The Godfather Part II;O Poderoso Chefão: Parte II;1974;9.0;Epic;The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
12 Angry Men;12 Homens e uma Sentença;1957;9.0;Legal Drama;The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Lord of the Rings: The Return of the King;O Senhor dos Anéis: O Retorno do Rei;2003;9.0;Action Epic;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Schindler's List;A Lista de Schindler;1993;9.0;Docudrama;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
The Lord of the Rings: The Fellowship of the Ring;O Senhor dos Anéis: A Sociedade do Anel;2001;8.9;Action Epic;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Pulp Fiction;Pulp Fiction: Tempo de Violência;1994;8.8;Dark Comedy;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
The Good, the Bad and the Ugly;Três Homens em Conflito;1966;8.8;Action Epic;A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Forrest Gump;Forrest Gump: O Contador de Histórias;1994;8.8;Epic;The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.
The Lord of the Rings: The Two Towers;O Senhor dos Anéis: As Duas Torres;2002;8.8;Action Epic;While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
Fight Club;Clube da Luta;1999;8.8;Dark Comedy;An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Inception;A Origem;2010;8.8;Action Epic;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.
Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episódio V - O Império Contra-Ataca;1980;8.7;Action Epic;After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.
The Matrix;Matrix;1999;8.7;Action Epic;When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
Goodfellas;Os Bons Companheiros;1990;8.7;Docudrama;The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.
Interstellar;Interestelar;2014;8.7;Adventure Epic;When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.
One Flew Over the Cuckoo's Nest;Um Estranho no Ninho;1975;8.7;Medical Drama;A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.
Se7en;Seven - Os Sete Crimes Capitais;1995;8.6;Cop Drama;Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
It's a Wonderful Life;A Felicidade Não se Compra;1946;8.6;Feel-Good Romance;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Silence of the Lambs;O Silêncio dos Inocentes;1991;8.6;Police Procedural;A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
Seven Samurai;Os Sete Samurais;1954;8.6;Action Epic;Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.
Saving Private Ryan;O Resgate do Soldado Ryan;1998;8.6;Epic;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.
The Green Mile;À Espera de um Milagre;1999;8.6;Period Drama;A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
